questionId,cardId,category,question,answer,explanation,sourceTitle,sourcePublisher,sourceUrl,verifiedAt,verificationLevel,reviewStatus,reviewNote
q_geo_001,card_geo_001,nature_geography,世界でいちばん深い湖は？,バイカル湖,"バイカル湖の最大深度は約1,642m。湖の中でいちばん深い湖として知られているよ。",Wikipedia: Lake Baikal,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_geo_002,card_geo_002,nature_geography,日本でいちばん面積が大きい都道府県は？,北海道,北海道の面積は約8万3千km²。日本の都道府県で断トツの広さだよ。,国土地理院,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_bio_001,card_bio_001,living_things,カンガルーの赤ちゃんは何と呼ばれている？,ジョーイ,カンガルーの赤ちゃんは「ジョーイ」と呼ばれているよ。生まれた時はわずか2cmほどなんだ。,Australian Museum,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_bio_002,card_bio_002,living_things,シロナガスクジラの心臓の重さは約どれくらい？,約180kg,シロナガスクジラの心臓は約180kgもある。小型車1台分くらいの重さなんだ。,National Geographic,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_his_001,card_his_001,history,江戸時代、庶民の間で流行った「世界一短い手紙」と呼ばれるものは？,五七五,俳句は「五・七・五」の17音で詠む世界一短い詩の形式。江戸時代に庶民文化として大きく広がったんだ。,文化庁 日本文化紹介,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_his_002,card_his_002,history,奈良の大仏を作るのに使われた主な材料は？,銅,奈良の大仏（東大寺盧舎那仏像）は主に銅で作られている。約500トンの銅が使われたと言われているよ。,東大寺公式サイト,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_sci_001,card_sci_001,science,空気の中でいちばん多い成分は？,窒素,空気の約78%は窒素。酸素は約21%で2番目。二酸化炭素は約0.04%しかないんだ。,気象庁 大気成分,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_sci_002,card_sci_002,science,光の速さは1秒間に地球を何周できる？,約7.5周,光は1秒間に約30万km進む。地球1周は約4万kmだから、1秒で約7.5周できる計算になるよ。,国立天文台,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_food_001,card_food_001,food,日本でいちばん古い調味料と言われているのは？,塩,塩は日本で最も古くから使われている調味料。縄文時代には海水から作っていたことがわかっているよ。,国立歴史民俗博物館,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_food_002,card_food_002,food,リンゴの生産量が世界一の国は？,中国,世界のリンゴ生産量の約半分は中国。日本で食べられているリンゴの多くも中国産なんだ。,FAO統計,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_lang_001,card_lang_001,language,「ありがとう」の語源として有力な説は？,「有り難し」が変化した,「ありがとう」は「有り難し（存在することが難しい→めったにない→貴重だ）」という意味の古語が変化したものと言われているよ。,日本国語大辞典,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_lang_002,card_lang_002,language,「ほんのわずかな時間」を表す「瞬き」にまつわる言葉は？,一瞬,「一瞬」は「瞬き（まばたき）する間」という意味。サンスクリット語の「ksana（刹那）」の訳語として作られた漢語だよ。,岩波 仏教辞典,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_life_001,card_life_001,daily_life,マンホールのふたが丸い理由として正しいのは？,落ちないから,丸いふたは斜めにしても穴に落ちないから。四角いふただと対角線が辺より長いため、落ちる可能性があるんだ。,日本下水道協会,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_life_002,card_life_002,daily_life,信号機の色が赤・黄・青の3色なのはなぜ？,光の波長で最も遠くまで届く色だから,赤は波長が長く遠くまで届くため「止まれ」に使われる。青（実際は緑）はその中間。黄色は注意を促す色として選ばれたんだ。,警察庁 交通規制,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_geo_003,card_geo_003,nature_geography,世界でいちばん標高が高い山は？,エベレスト,"エベレストの標高は8,848m。世界で最も高い山で、ネパールと中国の国境にあるよ。",USGS,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_bio_003,card_bio_003,living_things,タコの心臓はいくつある？,3つ,タコには心臓が3つある。全身に血液を送る心臓が1つと、エラに血液を送る心臓が2つ。不思議な体の仕組みだね。,National Geographic,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_his_003,card_his_003,history,日本の紙幣に初めて肖像画が使われたのはいつ？,明治時代,日本で初めて肖像画入りの紙幣は1885年（明治18年）発行の日本銀行券。神功皇后の肖像が使われていたんだ。,日本銀行 貨幣博物館,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_sci_003,card_sci_003,science,絶対零度は何℃？,-273℃,絶対零度は-273.15℃。これより低い温度は理論上存在しないとされているんだ。,国立科学博物館,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_food_003,card_food_003,food,ワサビの本来の原材料は何の植物？,山葵,本わさびは「山葵」という植物の根茎をすりおろしたもの。スーパーで売っているチューブわさびの多くは「西洋わさび」が主原料なんだ。,農林水産省,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_lang_003,card_lang_003,language,「サンドイッチ」の名前の由来は？,考案した伯爵の名前,サンドイッチは18世紀のイギリス、第4代サンドイッチ伯爵ジョン・モンタギューが、食事の手を止めずにトランプを続けられるよう頼んだのが始まりと言われているよ。,オックスフォード英語辞典,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_life_003,card_life_003,daily_life,消しゴムで鉛筆の字が消えるのはなぜ？,摩擦で紙の表面が削れるから,消しゴムでこすると、紙の表面ごと鉛筆の黒鉛を削り取っているんだ。消しゴムのかすは削り取られた紙と黒鉛のカスなんだよ。,文具の企画・開発メモ,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_geo_004,card_geo_004,nature_geography,地球上でいちばん乾燥した場所は？,アタカマ砂漠,チリのアタカマ砂漠は、過去400年以上雨が降っていない記録がある地域もある、世界で最も乾燥した場所なんだ。,NASA Earth Observatory,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_bio_004,card_bio_004,living_things,人間の骨の数は大人で約何本？,約206本,大人の人間の骨は約206本。赤ちゃんの時はもっと多くて約350本あるんだけど、成長するにつれて骨がくっついて減っていくんだ。,医学書,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_his_004,card_his_004,history,国宝に指定されている日本の城（現存天守）はいくつ？,5つ,姫路城、松本城、犬山城、彦根城、松江城の5つが国宝に指定されている現存天守だ。いずれも江戸時代以前から残る貴重な建造物なんだ。,文化庁 国宝・重要文化財,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_sci_004,card_sci_004,science,地球の表面の約何%が海で覆われている？,約70%,地球表面の約70%は海。地球は「水の惑星」と呼ばれることもあるんだ。,NASA,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_food_004,card_food_004,food,カレーライスが日本で初めて紹介されたのは何時代？,明治時代,日本にカレーが伝わったのは明治時代。イギリス経由で伝わり、当時の「西洋料理」の一つとして広まっていったんだ。,カレー博物館,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_lang_004,card_lang_004,language,日本語で「ら行」から始まる言葉が少ない理由として考えられるのは？,古語に「ら行」がなかったから,日本語では昔、「ら行」で始まる言葉（語頭にラ行が来る言葉）は非常に少なかった。これは上古日本語に語頭の「r」音を避ける傾向があったからだと言われているよ。,日本語学研究,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_life_004,card_life_004,daily_life,「エレベーターの開閉ボタン」実はあまり効果がないと言われる理由は？,安全のため自動ドアが優先されるから,多くのエレベーターでは、安全基準により自動ドアの開閉タイミングが優先される。閉ボタンを押しても数秒間は反応しないよう設計されていることが多いんだ。,日本エレベーター協会,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_geo_005,card_geo_005,nature_geography,日本でいちばん長い川は？,信濃川,日本最長の川は信濃川。長さは約367kmで、新潟県から長野県を流れているよ。,日本の川 - 北陸 - 信濃川,国土交通省 水管理・国土保全局,https://www.mlit.go.jp/river/toukei_chousa/kasen/jiten/nihon_kawa/0405_shinano/0405_shinano_00.html,2026-07-12,primary,approved,
q_bio_005,card_bio_005,living_things,パンダの食べるもののほとんどは？,竹,ジャイアントパンダの食事の99%は竹。1日に12〜38kgもの竹を食べるんだ。,WWF,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_nature_geography_001,card_nature_geography_001,nature_geography,日本で最も高い山、富士山がまたがっている2つの県はどこでしょうか？,静岡県と山梨県,富士山は静岡県と山梨県にまたがる独立峰です。実は山頂の大部分は私有地であり、境界線が明確に引かれていない場所も存在します。,静岡県および山梨県公式ホームページ,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_living_things_001,card_living_things_001,living_things,ラッコが流されないように、寝るときに体に巻き付けるものは何でしょうか？,海藻,野生のラッコは、睡眠中に海流で沖へ流されないように、コンブなどの長い海藻を体にぐるぐると巻き付けて固定する習性があります。,サンシャイン水族館 飼育コラム,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_history_001,card_history_001,history,1889年の完成当時、エッフェル塔は何のイベントのために建設されたでしょうか？,パリ万国博覧会,エッフェル塔は、フランス革命100周年を記念して開催された1889年の第4回パリ万国博覧会の入場門として建設されました。,エッフェル塔公式サイト 歴史解説,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_science_001,card_science_001,science,宝石のダイヤモンドと同じ炭素のみでできている、身近な筆記用具の材料は何？,黒鉛（グラファイト）,ダイヤモンドと鉛筆の芯の原料である黒鉛は、どちらも炭素原子からなる同素体です。原子の結びつき方が違うだけで成分は同じです。,日本化学会 化学百科,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_food_005,card_food_005,food,イチゴの表面にあるツブツブ。植物学的な分類では、このツブツブは何？,果実,イチゴの表面にある粒は一つ一つが「果実」です。赤い部分は「花托」という茎の先端が膨らんだもので、正確には果実ではありません。,農林水産省 植物の雑学,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_language_001,card_language_001,language,仕事をわざと怠る「サボタージュ」の語源となった、フランスの履物は何？,木靴,フランス語の「サボ（木靴）」が語源です。労働者がストライキの際、機械に木靴を投げ込んで壊したことが始まりと言われています。,語源由来辞典 サボる,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_daily_life_001,card_daily_life_001,daily_life,犯罪の抑止や心の落ち着きを目的として、駅や街頭で導入される照明の色は何色？,青色,青色光には人間の副交感神経を刺激してリラックスさせる効果があると考えられ、防犯対策や駅のホームでの事故防止に採用されています。,警察庁 防犯環境設計指針,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_nature_geography_002,card_nature_geography_002,nature_geography,死海は塩分濃度が高いため体が浮くことで有名ですが、主にどこの国にまたがって存在している？,ヨルダンとイスラエル,死海はヨルダンとイスラエルの境界にある塩湖です。海水の約10倍近い塩分濃度があり、浮力が非常に大きいため人間が沈まずに浮くことができます。湖面の標高は海抜マイナス430メートルで、地表で最も低い場所としても知られています。,イスラエル政府観光局 公式サイト,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_living_things_002,card_living_things_002,living_things,野生のキリンの1日の平均睡眠時間は、だいたいどれくらいの長さだと言われているでしょうか？,約20分,野生のキリンは肉食獣などの天敵から身を守るため、非常に短い睡眠をとります。1回数分程度の「うたた寝」を細切れに繰り返し、1日の合計睡眠時間はわずか20分程度と言われています。動物界でも屈指の短眠家として有名です。,ナショナルジオグラフィック 日本版,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_history_002,card_history_002,history,ハワイの挨拶「アロハ」の中に含まれている、ハワイ語で「息」を意味する単語はどれでしょう？,Ha（ハ）,「アロハ（Aloha）」の「Alo」は「〜の前に」を、「Ha」は「神聖な息吹（命）」を意味します。かつてハワイでは、お互いの鼻を近づけて息を交換する挨拶が行われており、相手の存在を尊ぶ精神がこの言葉に込められています。,ハワイ州観光局公式ポータルサイト,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_science_002,card_science_002,science,昼の空が青く見えるのは太陽光が空気中の粒子に当たり散乱するためですが、この現象の名前は何？,レイリー散乱,太陽光が大気を通過する際、波長の短い青い光は窒素や酸素の分子にぶつかって四方に散乱しやすい性質を持っています。この現象を「レイリー散乱」と呼びます。散乱した青い光が私たちの目に届くため、空は青く見えています。,気象庁 はれるんライブラリー,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_food_006,card_food_006,food,軽食の定番「サンドイッチ」の名前の由来となった、18世紀のイギリスの人物が持つ爵位は何？,伯爵,第4代サンドイッチ伯爵ジョン・モンタギューが名前の由来です。トランプのカード遊びに熱中していた彼が、食事中もゲームを続けられるように、パンに具材を挟んだものを作らせて食べたというエピソードが有名ですが、諸説あります。,英国政府観光庁（VisitBritain）,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_language_002,card_language_002,language,慣用句「二足のわらじを履く」の由来となった、江戸時代の相反する職業の組み合わせはどれ？,博徒と捕吏,江戸時代、ギャンブルを商売にする「博徒」が、一方でそれを取り締まる警察役の「捕吏（おかっぴき）」を兼ねることを指しました。同じ人間が相反する二つの立場を使い分けることから、現代の「副業」のような意味で使われるようになりました。,小学館 精選版 日本国語大辞典,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_daily_life_002,card_daily_life_002,daily_life,ボールペンのキャップの先端に小さな穴が開いていることがありますが、これにはどんな理由がある？,窒息事故を防ぐため,子供が誤ってキャップを飲み込んでしまい、喉に詰まった際でも、穴が開いていれば最低限の空気の通り道を確保でき、窒息死を防ぐことができます。これは国際規格（ISO）でも推奨されている安全のための重要なデザインです。,一般社団法人 日本筆記具工業会,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_nature_geography_006,card_nature_geography_006,nature_geography,日本で一番面積が小さい都道府県はどこ？,香川県,日本の都道府県で最も面積が小さいのは香川県です。かつては大阪府が最下位でしたが、関西国際空港の開拓などにより面積が増加したため、1988年以降は香川県が日本で一番小さな都道府県となっています。,国土地理院「全国都道府県市区町村別面積調」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_living_things_006,card_living_things_006,living_things,タコには心臓がいくつある？,3つ,タコには3つの心臓があります。全身に血液を巡らせる主心臓が1つと、左右のエラにそれぞれ血液を送り込むための補助的な心臓（エラ心臓）が2つあります。これにより、酸素を効率よく全身に運ぶことができます。,生物学事典「軟体動物の循環系」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_history_005,card_history_005,history,18世紀のフランスでジャガイモを普及させた方法は？,あえて畑を厳重に警備した,農学者パルマンティエは、当時不人気だったジャガイモの畑をあえて兵士に厳重に警備させ、「価値がある高級品」と思わせる心理作戦をとりました。夜間に警備を緩めると、狙い通り近隣の農民たちが種芋を盗み、フランス全土へ普及しました。,歴史書「世界の食文化史・フランス」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
